"Freq [GHz]","dB(S(2,1)) []","dB(S(1,1)) []"
7,-0.398523153676777,-10.5710454702169
7.005,-0.397563098457385,-10.5809206195195
7.01,-0.396587902291968,-10.5909919612082
7.015,-0.39559761955909,-10.6012595361022
7.02,-0.394592308535021,-10.6117234029455
7.025,-0.393572031222036,-10.6223836386798
7.03,-0.392536853183104,-10.6332403387142
7.035,-0.391486843382763,-10.6442936171911
7.04,-0.390422074033946,-10.6555436072484
7.045,-0.389342620450706,-10.6669904612793
7.05,-0.388248560906471,-10.678634351188
7.055,-0.387139976497841,-10.6904754686432
7.06,-0.386016951013628,-10.702514025328
7.065,-0.384879570809122,-10.7147502531876
7.07,-0.383727924685168,-10.7271844046743
7.075,-0.382562103772231,-10.73981675299
7.08,-0.381382201419039,-10.7526475923267
7.085,-0.380188313085746,-10.7656772381041
7.09,-0.378980536241516,-10.7789060272065
7.095,-0.377758970266296,-10.792334318217
7.1,-0.376523716356759,-10.8059624916504
7.105,-0.375274877436139,-10.8197909501844
7.11,-0.374012558067989,-10.8338201188905
7.115,-0.372736864373597,-10.8480504454623
7.12,-0.371447903953042,-10.8624824004446
7.125,-0.370145785809698,-10.8771164774602
7.13,-0.368830620278152,-10.8919531934377
7.135,-0.367502518955308,-10.9069930888381
7.14,-0.36616159463472,-10.9222367278812
7.145,-0.364807961243892,-10.937684698773
7.15,-0.363441733784568,-10.9533376139325
7.155,-0.362063028275824,-10.9691961102194
7.16,-0.360671961699954,-10.9852608491628
7.165,-0.359268651950938,-11.0015325171905
7.17,-0.357853217785539,-11.0180118258595
7.175,-0.356425778776809,-11.0346995120881
7.18,-0.35498645527001,-11.05159633839
7.185,-0.353535368340852,-11.0687030931091
7.19,-0.352072639755896,-11.0860205906578
7.195,-0.350598391935148,-11.1035496717571
7.2,-0.349112747916694,-11.1212912036789
7.205,-0.347615831323315,-11.1392460804919
7.21,-0.346107766331038,-11.1574152233101
7.215,-0.344588677639541,-11.1757995805451
7.22,-0.343058690444292,-11.1944001281615
7.225,-0.341517930410445,-11.2132178699369
7.23,-0.339966523648369,-11.2322538377256
7.235,-0.33840459669076,-11.2515090917267
7.24,-0.336832276471278,-11.2709847207578
7.245,-0.335249690304661,-11.2906818425325
7.25,-0.333656965868233,-11.3106016039441
7.255,-0.332054231184786,-11.3307451813551
7.26,-0.33044161460674,-11.3511137808917
7.265,-0.328819244801577,-11.3717086387456
7.27,-0.327187250738451,-11.3925310214819
7.275,-0.325545761675982,-11.4135822263541
7.28,-0.323894907151089,-11.4348635816259
7.285,-0.322234816968968,-11.4563764469012
7.29,-0.320565621193996,-11.4781222134621
7.295,-0.318887450141666,-11.5001023046142
7.3,-0.317200434371401,-11.522318176042
7.305,-0.315504704680312,-11.5447713161721
