"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
6,-25.4722777248533,-0.0307251222572117
6.0125,-26.1302076579803,-0.0225584657968528
6.025,-26.7866684408029,-0.0156899501525951
6.0375,-27.4426179555931,-0.00994983710199797
6.05,-28.0991698589827,-0.00518958009208224
6.0625,-28.7575775842329,-0.00127915801339707
6.075,-29.4192285292811,0.00189525031573756
6.0875,-30.0856470152465,0.0044332941664982
6.1,-30.7585052829753,0.00642221951865153
6.1125,-31.4396424221659,0.00793841173442398
6.125,-32.1310917501395,0.00904874156309101
6.1375,-32.8351178366758,0.00981174003093351
6.15,-33.5542651848317,0.0102786244787033
6.1625,-34.291421630615,0.0104941951116495
6.175,-35.0499009701507,0.0104976188887135
6.1875,-35.8335513969044,0.0103231153608194
6.2,-36.6468994093343,0.0100005571376814
6.2125,-37.495343550753,0.00955599598447876
6.225,-38.3854197205485,0.00901212409362787
6.2375,-39.325171687402,0.00838867881446243
6.25,-40.3246801422022,0.00770279803035125
6.2625,-41.3968372435632,0.00696933242609647
6.275,-42.5585126433377,0.00620112006934762
6.2875,-43.8323634531975,0.00540922802062715
6.3,-45.2497357561287,0.00460316507306028
6.3125,-46.8554557895757,0.00379106919155047
6.325,-48.7158404499428,0.00297987276107771
6.3375,-50.9312339527072,0.00217544835523044
6.35,-53.6460208584563,0.00138273739041999
6.3625,-56.9610280147085,0.0006058637314821
6.375,-60.0097947524322,-0.000151765945828183
6.3875,-59.4482564983426,-0.000887373456050023
6.4,-56.3742028639809,-0.00159873068601363
6.4125,-53.5689911192128,-0.00228409024569877
6.425,-51.358097145351,-0.00294212412495869
6.4375,-49.5968344554655,-0.003571869422856
6.45,-48.1547952846999,-0.00417268032953774
6.4625,-46.9444788303024,-0.00474418563948308
6.475,-45.9079043049481,-0.00528625116128002
6.4875,-45.0055515406959,-0.00579894646461163
6.5,-44.2095670043475,-0.00628251547135461
6.5125,-43.4996997213923,-0.00673735045555325
6.525,-42.8608188533178,-0.00716396906792867
6.5375,-42.2813493102078,-0.00756299404518748
6.55,-41.752253988007,-0.00793513530357867
6.5625,-41.2663516706685,-0.00828117415064733
6.575,-40.8178474486163,-0.00860194937950388
6.5875,-40.4020015773439,-0.00889834503658131
6.6,-40.014890897225,-0.00917127967755372
6.6125,-39.6532336133588,-0.00942169694675648
6.625,-39.3142583776217,-0.00965055733390566
6.6375,-38.9956049473486,-0.00985883097816734
6.65,-38.6952477445784,-0.0100474914039029
6.6625,-38.4114362874472,-0.0102175100852268
6.675,-38.1426482318984,-0.0103698517477471
6.6875,-37.8875519627251,-0.0105054703258539
6.7,-37.6449765033507,-0.0106253055027841
6.7125,-37.4138870970387,-0.0107302797685529
6.725,-37.193365227956,-0.0108212959379138
6.7375,-36.982592150801,-0.010899235076597
6.75,-36.7808352173377,-0.0109649547897534
6.7625,-36.5874364506613,-0.0110192878313672
6.775,-36.4018029395366,-0.0110630409978323
6.7875,-36.2233987169392,-0.0110969942728008
6.8,-36.0517378569135,-0.0111219001938879
6.8125,-35.8863785776917,-0.0111384834149816
6.825,-35.7269181807655,-0.0111474404406124
6.8375,-35.572988688227,-0.0111494395114134
6.85,-35.4242530663854,-0.0111451206218734
6.8625,-35.2804019440212,-0.0111350956535748
6.875,-35.1411507498872,-0.0111199486089335
6.8875,-35.0062372071047,-0.0111002359319953
6.9,-34.8754191326313,-0.0110764869042978
6.9125,-34.7484724985239,-0.0110492041051173
6.925,-34.625189718701,-0.0110188639264998
6.9375,-34.5053781306235,-0.010985917134567
6.95,-34.3888586460359,-0.0109507894694566
6.9625,-34.2754645488097,-0.0109138822771499
6.975,-34.1650404211779,-0.0108755731671146
6.9875,-34.0574411823593,-0.0108362166903543
7,-33.9525312258417,-0.010796145033202
7.0125,-33.8501836435054,-0.0107556687224599
7.025,-33.7502795263819,-0.0107150773382572
7.0375,-33.6527073332063,-0.010674640231212
7.05,-33.5573623190908,-0.0106346072410358
7.0625,-33.4641460176302,-0.0105952094139197
7.075,-33.3729657706041,-0.0105566597164859
7.0875,-33.2837343001655,-0.0105191537442773
7.1,-33.1963693190307,-0.0104828704230798
7.1125,-33.1107931747271,-0.0104479727015384
7.125,-33.0269325244225,-0.0104146082337482
7.1375,-32.9447180372628,-0.0103829100507511
7.15,-32.8640841215,-0.0103529972199265
7.1625,-32.7849686739968,-0.0103249754914644
7.175,-32.7073128499633,-0.010298937931269
7.1875,-32.6310608510174,-0.0102749655396903
7.2,-32.5561597298631,-0.010253127855676
7.2125,-32.4825592100648,-0.0102334835459043
7.225,-32.4102115195541,-0.0102160809786737
7.2375,-32.3390712366457,-0.0102009587823459
7.25,-32.2690951474644,-0.0101881463881374
7.2625,-32.2002421137948,-0.0101776645572575
7.275,-32.1324729504633,-0.0101695258923081
7.2875,-32.0657503114493,-0.0101637353329989
7.3,-32.000038583998,-0.0101602906361956
7.3125,-31.9353037900795,-0.010159182840443
7.325,-31.871513494598,-0.0101603967150608
7.3375,-31.8086367198106,-0.0101639111939581
7.35,-31.7466438654649,-0.0101696997943899
7.3625,-31.6855066342098,-0.0101777310207772
7.375,-31.6251979618711,-0.0101879687539035
7.3875,-31.565691952223,-0.0102003726256581
7.4,-31.5069638159158,-0.0102148983795551
7.4125,-31.4489898132506,-0.0102314982173653
7.425,-31.3917472005187,-0.0102501211320404
7.4375,-31.3352141796451,-0.0102707132272673
7.45,-31.2793698508999,-0.010293218023895
7.4625,-31.2241941684588,-0.0103175767535163
7.475,-31.1696678986116,-0.0103437286395446
