	Length [mm]	Value [°„C]	
1	0.	47.019	
2	0.18222	47.011	
3	0.36444	46.985	
4	0.54667	46.942	
5	0.72889	46.882	
6	0.91111	46.804	
7	1.0933	46.71	
8	1.2756	46.598	
9	1.4578	46.471	
10	1.64	46.328	
11	1.8222	46.169	
12	2.0044	45.997	
13	2.1867	45.811	
14	2.3689	45.612	
15	2.5511	45.401	
16	2.7333	45.179	
17	2.9156	44.947	
18	3.0978	44.705	
19	3.28	44.454	
20	3.4622	44.196	
21	3.6444	43.932	
22	3.8267	43.661	
23	4.0089	43.385	
24	4.1911	43.105	
25	4.3733	42.822	
26	4.5556	42.536	
27	4.7378	42.249	
28	4.92	41.96	
29	5.1022	41.671	
30	5.2844	41.384	
31	5.4667	41.097	
32	5.6489	40.811	
33	5.8311	40.527	
34	6.0133	40.247	
35	6.1956	39.97	
36	6.3778	39.696	
37	6.56	39.426	
38	6.7422	39.16	
39	6.9244	38.899	
40	7.1067	38.641	
41	7.2889	38.388	
42	7.4711	38.139	
43	7.6533	37.895	
44	7.8356	37.656	
45	8.0178	37.426	
46	8.2	37.21	
47	8.3822	37.009	
48	8.5644	36.827	
49	8.7467	36.664	
50	8.9289	36.52	
51	9.1111	36.392	
52	9.2933	36.279	
53	9.4756	36.181	
54	9.6578	36.095	
55	9.84	36.019	
56	10.022	35.953	
57	10.204	35.895	
58	10.387	35.846	
59	10.569	35.804	
60	10.751	35.77	
61	10.933	35.741	
62	11.116	35.719	
63	11.298	35.702	
64	11.48	35.69	
