	Length [mm]	Value [°„C]	
1	0.	95.652	
2	0.18222	95.631	
3	0.36444	95.559	
4	0.54667	95.439	
5	0.72889	95.269	
6	0.91111	95.052	
7	1.0933	94.787	
8	1.2756	94.475	
9	1.4578	94.118	
10	1.64	93.717	
11	1.8222	93.273	
12	2.0044	92.79	
13	2.1867	92.271	
14	2.3689	91.713	
15	2.5511	91.122	
16	2.7333	90.501	
17	2.9156	89.852	
18	3.0978	89.173	
19	3.28	88.47	
20	3.4622	87.749	
21	3.6444	87.009	
22	3.8267	86.251	
23	4.0089	85.478	
24	4.1911	84.694	
25	4.3733	83.901	
26	4.5556	83.101	
27	4.7378	82.297	
28	4.92	81.488	
29	5.1022	80.68	
30	5.2844	79.874	
31	5.4667	79.071	
32	5.6489	78.271	
33	5.8311	77.476	
34	6.0133	76.69	
35	6.1956	75.915	
36	6.3778	75.149	
37	6.56	74.393	
38	6.7422	73.648	
39	6.9244	72.916	
40	7.1067	72.196	
41	7.2889	71.488	
42	7.4711	70.79	
43	7.6533	70.105	
44	7.8356	69.437	
45	8.0178	68.794	
46	8.2	68.188	
47	8.3822	67.624	
48	8.5644	67.115	
49	8.7467	66.661	
50	8.9289	66.257	
51	9.1111	65.897	
52	9.2933	65.581	
53	9.4756	65.307	
54	9.6578	65.065	
55	9.84	64.853	
56	10.022	64.667	
57	10.204	64.507	
58	10.387	64.37	
59	10.569	64.252	
60	10.751	64.155	
61	10.933	64.075	
62	11.116	64.012	
63	11.298	63.965	
64	11.48	63.932	
