	Length [mm]	Value [°„C]	
1	0.	95.652	
2	0.23917	95.609	
3	0.47833	95.459	
4	0.7175	95.2	
5	0.95667	94.835	
6	1.1958	94.367	
7	1.435	93.798	
8	1.6742	93.135	
9	1.9133	92.381	
10	2.1525	91.541	
11	2.3917	90.623	
12	2.6308	89.631	
13	2.87	88.565	
14	3.1092	87.435	
15	3.3483	86.246	
16	3.5875	85.	
17	3.8267	83.702	
18	4.0658	82.353	
19	4.305	80.953	
20	4.5442	79.504	
21	4.7833	78.006	
22	5.0225	76.462	
23	5.2617	74.895	
24	5.5008	73.39	
25	5.74	72.05	
26	5.9792	70.89	
27	6.2183	69.892	
28	6.4575	69.041	
29	6.6967	68.306	
30	6.9358	67.689	
31	7.175	67.155	
32	7.4142	66.7	
33	7.6533	66.315	
34	7.8925	65.984	
35	8.1317	65.705	
36	8.3708	65.466	
37	8.61	65.263	
38	8.8492	65.091	
39	9.0883	64.944	
40	9.3275	64.821	
41	9.5667	64.717	
42	9.8058	64.632	
43	10.045	64.563	
44	10.284	64.51	
45	10.523	64.47	
46	10.763	64.443	
47	11.002	64.429	
48	11.241	64.429	
49	11.48	64.447	
