"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.1,-35.2637860992902,-0.0213407636462892
1.10225,-36.1892650930014,-0.0207376752674713
1.1045,-37.1554498411791,-0.0201715489461737
1.10675,-38.1716983492356,-0.0196405353770821
1.109,-39.2497640073421,-0.0191427946835464
1.11125,-40.4048203787513,-0.0186765185185072
1.1135,-41.6570751775497,-0.0182399458932544
1.11575,-43.0344367233398,-0.0178313742025267
1.118,-44.5771839831001,-0.0174491665781121
1.12025,-46.3467691998096,-0.0170917564452431
1.1225,-48.4440805212104,-0.0167576499582153
1.12475,-51.0526480990866,-0.0164454268391002
1.127,-54.5624624615827,-0.0161537400254087
1.12925,-60.0495685915243,-0.0158813144412413
1.1315,-70.6048234473709,-0.0156269451353948
1.13375,-62.3026016633972,-0.015389494974655
1.136,-56.3548331056288,-0.015167892037385
1.13825,-52.9160355355731,-0.0149611268189067
1.1405,-50.5375086081511,-0.0147682493337814
1.14275,-48.7379320757715,-0.0145883661797409
1.145,-47.3020077734899,-0.0144206376117179
1.14725,-46.1152292800829,-0.0142642746620534
1.1495,-45.1095388362902,-0.0141185363330899
1.15175,-44.2412313274281,-0.0139827268807275
1.154,-43.4805931494592,-0.0138561932016597
1.15625,-42.8065186265583,-0.0137383223323035
1.1585,-42.2034870135651,-0.0136285390641376
1.16075,-41.6597585260316,-0.0135263036771461
1.163,-41.1662437075147,-0.0134311097913895
1.16525,-40.7157655883383,-0.0133424823349519
1.1675,-40.3025615810777,-0.0132599756254657
1.16975,-39.921937381552,-0.0131831715616704
1.172,-39.570020440013,-0.0131116779208821
1.17425,-39.2435805183178,-0.0130451267578354
1.1765,-38.9398965726049,-0.0129831729002207
1.17875,-38.6566563267727,-0.0129254925361701
1.181,-38.3918793636049,-0.0128717818887886
1.18325,-38.143857428199,-0.0128217559731081
1.1855,-37.9111075254834,-0.0127751474307043
1.18775,-37.6923346618242,-0.0127317054376113
1.19,-37.4864019493775,-0.0126911946810576
1.19225,-37.2923063971646,-0.0126533944010025
1.1945,-37.1091591413699,-0.0126180974924544
1.19675,-36.9361691751131,-0.0125851096647876
1.199,-36.772629861918,-0.0125542486545464
1.20125,-36.6179076821013,-0.0125253434883281
1.2035,-36.4714327842368,-0.0124982337925925
1.20575,-36.3326910064169,-0.0124727691473576
1.208,-36.2012171024042,-0.0124488084810292
1.21025,-36.076588961764,-0.0124262195036852
1.2125,-35.958422654852,-0.0124048781763121
1.21475,-35.846368166121,-0.0123846682137298
1.217,-35.7401057048237,-0.0123654806189902
1.21925,-35.6393425024605,-0.0123472132471929
1.2215,-35.5438100224686,-0.0123297703968678
1.22375,-35.4532615205988,-0.0123130624270911
1.226,-35.3674699048651,-0.0122970053986912
1.22825,-35.2862258524249,-0.0122815207380074
1.2305,-35.2093361476492,-0.0122665349216715
1.23275,-35.1366222113019,-0.0122519791811781
1.235,-35.0679187954082,-0.0122377892258382
1.23725,-35.0030728222449,-0.0122239049830332
1.2395,-34.9419423490887,-0.0122102703545936
1.24175,-34.8843956430319,-0.0121968329883386
1.244,-34.8303103524099,-0.0121835440637184
1.24625,-34.7795727632723,-0.0121703580907349
1.2485,-34.7320771309123,-0.0121572327212861
1.25075,-34.6877250778187,-0.0121441285720849
1.253,-34.6464250505568,-0.0121310090584951
1.25525,-34.6080918290575,-0.0121178402385674
1.2575,-34.572646082632,-0.012104590666598
1.25975,-34.5400139677392,-0.0120912312556619
1.262,-34.5101267631536,-0.012077735148543
1.26425,-34.4829205387089,-0.0120640775965107
1.2665,-34.4583358542529,-0.0120502358454801
1.26875,-34.4363174858495,-0.0120361890290841
1.271,-34.4168141766079,-0.0120219180682469
1.27325,-34.3997784098234,-0.012007405576813
1.2755,-34.3851662023779,-0.0119926357728993
1.27775,-34.3729369165807,-0.0119775943956199
1.28,-34.3630530888324,-0.0119622686267883
1.28225,-34.3554802736776,-0.0119466470173916
1.2845,-34.3501869019666,-0.0119307194184491
1.28675,-34.3471441519905,-0.0119144769160507
1.289,-34.3463258325768,-0.0118979117702936
1.29125,-34.347708277245,-0.0118810173578725
1.2935,-34.3512702486215,-0.0118637881181415
1.29575,-34.3569928524,-0.0118462195023646
1.298,-34.3648594602178,-0.011828307926049
1.30025,-34.3748556408866,-0.0118100507241005
1.3025,-34.3869690994853,-0.0117914461086819
1.30475,-34.4011896238821,-0.0117724931295711
1.307,-34.4175090383043,-0.0117531916369056
1.30925,-34.4359211636308,-0.0117335422461449
1.3115,-34.4564217841237,-0.0117135463051235
1.31375,-34.4790086203617,-0.0116932058630773
1.316,-34.5036813081786,-0.0116725236415059
1.31825,-34.5304413834487,-0.0116515030068013
1.3205,-34.5592922725982,-0.0116301479444796
1.32275,-34.5902392887562,-0.0116084630349752
1.325,-34.6232896334961,-0.0115864534308597
1.32725,-34.658452404149,-0.0115641248354446
1.3295,-34.6957386067075,-0.0115414834826441
1.33175,-34.7351611743697,-0.0115185361180408
1.334,-34.7767349918091,-0.0114952899811129
