"l_a []","l_b []","l_c []","wphi [deg]","wtheta [rad]","Freq [GHz]","dB(S(1,1)) []"
-0.497,0.8678,1.48911394,0,-0.0037,92,-14.5397079178345
-0.497,0.8678,1.48911394,0,-0.0037,92.015,-14.4768795608469
-0.497,0.8678,1.48911394,0,-0.0037,92.03,-14.4171584861818
-0.497,0.8678,1.48911394,0,-0.0037,92.045,-14.3610036931182
-0.497,0.8678,1.48911394,0,-0.0037,92.06,-14.3088675705239
-0.497,0.8678,1.48911394,0,-0.0037,92.075,-14.2611862241552
-0.497,0.8678,1.48911394,0,-0.0037,92.09,-14.2183693640663
-0.497,0.8678,1.48911394,0,-0.0037,92.105,-14.1807901716017
-0.497,0.8678,1.48911394,0,-0.0037,92.12,-14.1487756199954
-0.497,0.8678,1.48911394,0,-0.0037,92.135,-14.122597745334
-0.497,0.8678,1.48911394,0,-0.0037,92.15,-14.1024663486918
-0.497,0.8678,1.48911394,0,-0.0037,92.165,-14.0885235527913
-0.497,0.8678,1.48911394,0,-0.0037,92.18,-14.0808405398099
-0.497,0.8678,1.48911394,0,-0.0037,92.195,-14.0794166684771
-0.497,0.8678,1.48911394,0,-0.0037,92.21,-14.0841810204374
-0.497,0.8678,1.48911394,0,-0.0037,92.225,-14.0949962729715
-0.497,0.8678,1.48911394,0,-0.0037,92.24,-14.1116646532225
-0.497,0.8678,1.48911394,0,-0.0037,92.255,-14.1339356120264
-0.497,0.8678,1.48911394,0,-0.0037,92.27,-14.1615147735675
-0.497,0.8678,1.48911394,0,-0.0037,92.285,-14.1940736756646
-0.497,0.8678,1.48911394,0,-0.0037,92.3,-14.2312598145944
-0.497,0.8678,1.48911394,0,-0.0037,92.315,-14.2727065433186
-0.497,0.8678,1.48911394,0,-0.0037,92.33,-14.3180424347984
-0.497,0.8678,1.48911394,0,-0.0037,92.345,-14.3668998029192
-0.497,0.8678,1.48911394,0,-0.0037,92.36,-14.4189221624184
-0.497,0.8678,1.48911394,0,-0.0037,92.375,-14.4737704971784
-0.497,0.8678,1.48911394,0,-0.0037,92.39,-14.5311282863475
-0.497,0.8678,1.48911394,0,-0.0037,92.405,-14.5907053053029
-0.497,0.8678,1.48911394,0,-0.0037,92.42,-14.6522402710796
-0.497,0.8678,1.48911394,0,-0.0037,92.435,-14.7155024390928
-0.497,0.8678,1.48911394,0,-0.0037,92.45,-14.7802922807904
-0.497,0.8678,1.48911394,0,-0.0037,92.465,-14.8464413822487
-0.497,0.8678,1.48911394,0,-0.0037,92.48,-14.9138117041045
-0.497,0.8678,1.48911394,0,-0.0037,92.495,-14.9822943361527
-0.497,0.8678,1.48911394,0,-0.0037,92.51,-15.0518078678081
-0.497,0.8678,1.48911394,0,-0.0037,92.525,-15.1222964805158
-0.497,0.8678,1.48911394,0,-0.0037,92.54,-15.193727851744
-0.497,0.8678,1.48911394,0,-0.0037,92.555,-15.2660909436937
-0.497,0.8678,1.48911394,0,-0.0037,92.57,-15.3393937341919
-0.497,0.8678,1.48911394,0,-0.0037,92.585,-15.4136609329797
-0.497,0.8678,1.48911394,0,-0.0037,92.6,-15.4889317140784
-0.497,0.8678,1.48911394,0,-0.0037,92.615,-15.5652574842545
-0.497,0.8678,1.48911394,0,-0.0037,92.63,-15.6426996987917
-0.497,0.8678,1.48911394,0,-0.0037,92.645,-15.7213277287388
-0.497,0.8678,1.48911394,0,-0.0037,92.66,-15.8012167783712
-0.497,0.8678,1.48911394,0,-0.0037,92.675,-15.8824458476449
-0.497,0.8678,1.48911394,0,-0.0037,92.69,-15.9650957317466
-0.497,0.8678,1.48911394,0,-0.0037,92.705,-16.0492470483081
-0.497,0.8678,1.48911394,0,-0.0037,92.72,-16.1349782823266
-0.497,0.8678,1.48911394,0,-0.0037,92.735,-16.2223638391854
-0.497,0.8678,1.48911394,0,-0.0037,92.75,-16.311472097337
-0.497,0.8678,1.48911394,0,-0.0037,92.765,-16.4023634541025
-0.497,0.8678,1.48911394,0,-0.0037,92.78,-16.4950883606303
-0.497,0.8678,1.48911394,0,-0.0037,92.795,-16.5896853452985
-0.497,0.8678,1.48911394,0,-0.0037,92.81,-16.6861790287338
-0.497,0.8678,1.48911394,0,-0.0037,92.825,-16.7845781381244
-0.497,0.8678,1.48911394,0,-0.0037,92.84,-16.884873533625
-0.497,0.8678,1.48911394,0,-0.0037,92.855,-16.9870362653493
-0.497,0.8678,1.48911394,0,-0.0037,92.87,-17.0910156856886
